Team,Player,Position,On_start,Points_Average,Last_5_games_points,J_4,J_3,J_2,J_1,J_Actual,Avg_last_5_games,Value,Squad_Average_Points,J_4_Squad_Points,J_3_Squad_Points,J_2_Squad_Points,J_1_Squad_Points,J_Actual_Squad_Points,Squad_Avg_last_5_Games,Value_Squad,vs,Vs_Team,Vs_Squad_Average_Points,J_4_Vs_Squad_Points,J_3_Vs_Squad_Points,J_2_Vs_Squad_Points,J_1_Vs_Squad_Points,J_Actual_Vs_Squad_Points,Vs_Squad_Avg_last_5_Games,Vs_Value_Squad,Team_clas,Vs_Team_clas,Jugador,Target,img,squad_img
Athletic Club,Unai Simón,PT,80,5.2,"['10', '1', '-', '-', '4']",10,1,0,0,4,3.0,4320000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Unai Simón,6.0,,
Athletic Club,Agirrezabala,PT,20,5.0,"['-', '-', '6', '4', '-']",0,0,6,4,0,2.0,430000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Agirrezabala,0.0,,
Athletic Club,Ezkieta,PT,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Ezkieta,0.0,,
Athletic Club,Iñigo Martínez,DF,75,5.3,"['8', '6', '-', '-', '2']",8,6,0,0,2,3.2,6320000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Iñigo Martínez,5.0,,
Athletic Club,Lekue,DF,85,3.9,"['8', '1', '3', '2', '-']",8,1,3,2,0,2.8,2700000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Lekue,0.0,,
Athletic Club,Dani García,MD,85,2.5,"['5', '4', '-', '2', '2']",5,4,0,2,2,2.6,1770000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Dani García,6.0,,
Athletic Club,Balenziaga,DF,80,3.6,"['5', '-', '13', '4', '11']",5,0,13,4,11,6.6,1890000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Balenziaga,5.0,,
Athletic Club,Yeray Álvarez,DF,55,4.5,"['5', '4', '2', '2', '4']",5,4,2,2,4,3.4,3480000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Yeray Álvarez,9.0,,
Athletic Club,Daniel Vivian,DF,45,5.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2410000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Daniel Vivian,0.0,,
Athletic Club,Álex Petxarroman,DF,0,1.8,"['2', '4', '-', '-', '-']",2,4,0,0,0,1.2,440000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Álex Petxarroman,0.0,,
Athletic Club,Unai Vencedor,MD,90,3.6,"['4', '5', '6', '4', '-1']",4,5,6,4,-1,3.6,3450000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Unai Vencedor,0.0,,
Athletic Club,Capa,DF,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,930000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Capa,0.0,,
